"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
243783127187,0,0,0,0,0,0,-63.3124351501465,352.905578613281,45.0285758972168
243783196533,-1,-1,1,0,0,0,-63.4096336364746,352.549041748047,44.8783950805664
243783239951,-3,-1,1,0,0,0,-63.9279327392578,352.271118164063,44.7318305969238
243783291964,-4,0,1,0,0,0,-64.4918823242188,351.869140625,44.7741279602051
243783352643,-2,-1,2,0,0,0,-64.797966003418,351.4013671875,44.6191139221191
243783404706,3,0,1,0,0,0,-64.309700012207,351.029144287109,44.6092758178711
243783456724,5,-2,2,0,0,0,-63.5415267944336,350.580169677734,44.2169761657715
243783517441,6,-1,4,0,0,0,-62.5543174743652,349.553131103516,43.9911231994629
243783595500,7,-2,3,0,0,0,-61.4855346679688,348.749908447266,43.6448783874512
243783673435,4,-1,0,0,0,0,-60.8498420715332,348.777587890625,43.5266876220703
243783734249,4,1,1,0,0,0,-60.2940635681152,348.527038574219,43.6138191223145
243783794944,6,-1,2,0,0,0,-59.4170112609863,347.978210449219,43.4335670471191
243783864310,6,-1,3,0,0,0,-58.4875030517578,347.233825683594,43.1590690612793
243783933694,3,1,2,0,0,0,-57.9684028625488,346.617431640625,43.3475646972656
243783985838,2,2,3,0,0,0,-57.6228675842285,345.864959716797,43.638557434082
243784037670,4,1,4,0,0,0,-56.9732208251953,344.757537841797,43.7091178894043
243784098556,6,-2,5,0,0,0,-56.0485610961914,343.412200927734,43.2386665344238
243784168095,7,-2,5,0,0,0,-54.957389831543,342.015319824219,42.8388481140137
243784254520,7,0,1,0,0,0,-53.8300704956055,341.663635253906,42.7924194335938
243784332507,6,1,0,0,0,0,-52.8550148010254,341.586395263672,42.925708770752
243784401945,4,3,0,0,0,0,-52.136661529541,341.459930419922,43.3830375671387
243784462658,3,1,2,0,0,0,-51.6499404907227,340.950378417969,43.4169273376465
243784514683,3,0,1,0,0,0,-51.1971588134766,340.783660888672,43.3771629333496
243784566717,3,0,0,0,0,0,-50.7242698669434,340.819030761719,43.3842086791992
243784618787,4,0,1,0,0,0,-50.1675338745117,340.565734863281,43.3290328979492
243784679395,5,1,5,0,0,0,-49.383186340332,339.317840576172,43.3283386230469
243784740181,6,0,4,0,0,0,-48.4394569396973,338.256774902344,43.0921630859375
243784818219,10,-1,1,0,0,0,-46.9582099914551,337.875305175781,42.7748794555664
243784913635,11,1,-1,0,0,0,-45.219352722168,338.215179443359,42.8507270812988
243785017695,10,6,5,0,0,0,-43.5860824584961,336.774261474609,43.4714965820313
243785104335,8,3,6,0,0,0,-42.2447395324707,335.172821044922,43.6566429138184
243785199818,5,5,4,0,0,0,-41.3881721496582,333.98876953125,44.1917266845703
243785269311,2,3,2,0,0,0,-41.0781440734863,333.388244628906,44.51953125
243785321354,0,0,3,0,0,0,-41.0249862670898,332.603424072266,44.3953590393066
243785373241,1,-1,2,0,0,0,-40.9663047790527,332.057067871094,44.123405456543
243785416559,1,0,2,0,0,0,-40.8149833679199,331.539825439453,43.9631423950195
243785459942,2,-1,2,0,0,0,-40.5871086120605,331.018646240234,43.7864379882813
243785511937,4,-1,3,0,0,0,-40.0643692016602,330.315124511719,43.4791717529297
243785572648,7,-1,2,0,0,0,-39.0222396850586,329.851837158203,43.1872901916504
243785650737,8,2,3,0,0,0,-37.8037757873535,328.933776855469,43.2414817810059
243785737444,8,2,4,0,0,0,-36.4939956665039,327.84619140625,43.1526184082031
243785824214,9,2,5,0,0,0,-35.0837631225586,326.520446777344,43.0758476257324
243785910931,8,1,4,0,0,0,-33.7668991088867,325.576019287109,42.8186531066895
243785997627,6,0,6,0,0,0,-32.9052505493164,324.037506103516,42.4931182861328
243786067014,2,3,3,0,0,0,-32.4878234863281,323.222015380859,42.7073783874512
243786118995,4,1,3,0,0,0,-31.9155178070068,322.297760009766,42.5754661560059
243786179747,6,-1,3,0,0,0,-31.0949382781982,321.449645996094,42.1574096679688
243786249090,5,0,4,0,0,0,-30.4054279327393,320.476196289063,41.8527565002441
243786318496,3,1,3,0,0,0,-29.9977111816406,319.710357666016,41.7534217834473
243786370688,2,1,1,0,0,0,-29.6989860534668,319.483276367188,41.8480796813965
243786413875,1,2,1,0,0,0,-29.4892158508301,319.117797851563,42.0070190429688
243786465885,2,2,3,0,0,0,-29.1916980743408,318.419250488281,42.1839141845703
243786517908,3,1,3,0,0,0,-28.7457981109619,317.540802001953,42.0365524291992
243786569978,4,0,3,0,0,0,-28.2284107208252,316.626708984375,41.7453155517578
243786630693,5,0,3,0,0,0,-27.5358619689941,315.822052001953,41.4275016784668
243786691391,4,1,2,0,0,0,-26.8973579406738,315.284088134766,41.352424621582
243786752073,5,1,4,0,0,0,-26.101655960083,314.191070556641,41.0393829345703
243786821468,8,1,4,0,0,0,-24.9033164978027,313.048309326172,40.700756072998
243786899488,5,-1,0,0,0,0,-24.0767879486084,313.076843261719,40.4239654541016
243786968859,0,0,-2,0,0,0,-23.9929466247559,313.595428466797,40.6070365905762
243787012438,0,1,0,0,0,0,-23.9758968353271,313.694061279297,40.7590026855469
243787055563,1,1,-1,0,0,0,-23.7218284606934,313.828308105469,40.8567276000977
243787098946,4,1,-1,0,0,0,-23.0092010498047,313.983581542969,40.8227157592773
243787159577,8,2,4,0,0,0,-21.7694721221924,313.028564453125,40.6794509887695
243787237937,7,5,7,0,0,0,-20.6280555725098,311.277221679688,40.8678550720215
